"index","name","acc","prec","recall","fs"
1,"bpic13-0.1-3.csv",0.853852370689655,0.126279863481229,0.114374034003091,0.120032441200324
2,"creditcard-0.1-0.csv",0.852593631083517,0.303254437869822,0.436170212765957,0.357766143106457
3,"helpdesk-0.1-0.csv",0.867995689655172,0.258547008547009,0.458333333333333,0.330601092896175
4,"hospitalbilling-0.1-0.csv",0.906836662985644,0.344605475040258,0.291156462585034,0.315634218289086
5,"huge-0.1-1.csv",0.882710616849348,0.444813829787234,0.514615384615385,0.477175463623395
6,"large-0.1-1.csv",0.95599295887342,1,0.576271186440678,0.731182795698925
7,"mccloud-0.1-0.csv",0.872267896530981,0.363636363636364,0.477611940298507,0.412903225806452
8,"medium-0.1-1.csv",0.918,0.579175704989154,0.552795031055901,0.565677966101695
9,"small-0.1-1.csv",0.961,1,0.582441113490364,0.736129905277402
10,"wide-0.1-1.csv",0.951596127690215,1,0.536042944785276,0.697953070394408
