"index","name","acc","prec","recall","fs"
1,"bpic13-0.1-3.csv",0.845326388495726,0.202143740552425,0.223115425451236,0.21211247296323
2,"creditcard-0.1-0.csv",0.917033598681214,0.694397283531409,0.190987625496148,0.299578831715803
3,"helpdesk-0.1-0.csv",0.90922390461561,0.44280442804428,0.0991735537190083,0.162052667116813
4,"hospitalbilling-0.1-0.csv",0.910810586575956,0.298268120590122,0.0979772439949431,0.147501982553529
5,"huge-0.1-1.csv",0.922571628232006,1,0.288831835686778,0.448207171314741
6,"large-0.1-1.csv",0.91705640512497,1,0.229489424760878,0.373308497233332
7,"mccloud-0.1-0.csv",0.915261897986173,0.810526315789474,0.148310278410086,0.250740082889284
8,"medium-0.1-1.csv",0.936256735233319,1,0.374875373878365,0.545322697606962
9,"small-0.1-1.csv",0.927506714413608,1,0.243577767398412,0.391737089201878
10,"wide-0.1-1.csv",0.907670947587643,1,0.163623170879187,0.281230513406776
