"index","name","acc","prec","recall","fs"
1,"bpic13-0.1-3.csv",0.444234913793103,0.0264089300299483,0.149922720247295,0.0449074074074074
2,"creditcard-0.1-0.csv",0.656118565992389,0.0343539955190441,0.0978723404255319,0.05085682697623
3,"helpdesk-0.1-0.csv",0.928879310344828,NA,0,NA
4,"hospitalbilling-0.1-0.csv",0.726633872101195,0.0054726368159204,0.0149659863945578,0.00801457194899818
5,"huge-0.1-1.csv",0.533402672213777,0.0383048084759576,0.144615384615385,0.0605670103092784
6,"large-0.1-1.csv",0.524563930228837,0.0396510705789056,0.154083204930663,0.0630715862503942
7,"mccloud-0.1-0.csv",0.465009023460999,0.0347016504443504,0.174840085287846,0.057909604519774
8,"medium-0.1-1.csv",0.48,0.0403821102909249,0.192546583850932,0.0667623833452979
9,"small-0.1-1.csv",0.6236,0.0396877033181522,0.130620985010707,0.0608782435129741
10,"wide-0.1-1.csv",0.615329226338107,0.0360169491525424,0.104294478527607,0.0535433070866142
